dataset,metric,block_size,max_distance,dpm_file_name,score,execution_time
books,structural_similarity_index,9,60,disp_structural_similarity_index_books_9_60.png,-0.22146477436885365,6.0147
books,structural_similarity_index,9,64,disp_structural_similarity_index_books_9_64.png,-0.2464736883086717,6.127
books,structural_similarity_index,9,68,disp_structural_similarity_index_books_9_68.png,-0.26248428472239965,6.7488
books,structural_similarity_index,9,72,disp_structural_similarity_index_books_9_72.png,-0.2678445769009463,6.7673
books,structural_similarity_index,9,76,disp_structural_similarity_index_books_9_76.png,-0.26915031483957674,7.4926
books,structural_similarity_index,11,40,disp_structural_similarity_index_books_11_40.png,0.019517351158633872,5.9947
books,structural_similarity_index,11,44,disp_structural_similarity_index_books_11_44.png,0.0007645975212367363,6.2585
books,structural_similarity_index,11,48,disp_structural_similarity_index_books_11_48.png,-0.032177910311607195,6.6475
books,structural_similarity_index,11,52,disp_structural_similarity_index_books_11_52.png,-0.08286779642403612,7.0942
books,structural_similarity_index,11,56,disp_structural_similarity_index_books_11_56.png,-0.1375428508939431,7.5516
books,structural_similarity_index,11,60,disp_structural_similarity_index_books_11_60.png,-0.22729080187146336,7.9817
books,structural_similarity_index,11,64,disp_structural_similarity_index_books_11_64.png,-0.25071624044789015,8.434
books,structural_similarity_index,11,68,disp_structural_similarity_index_books_11_68.png,-0.2654535662941038,8.8316
books,structural_similarity_index,11,72,disp_structural_similarity_index_books_11_72.png,-0.2690699561949691,9.4105
books,structural_similarity_index,11,76,disp_structural_similarity_index_books_11_76.png,-0.26968277476240154,9.5665
books,structural_similarity_index,13,40,disp_structural_similarity_index_books_13_40.png,0.019829826551421074,7.2852
books,structural_similarity_index,13,44,disp_structural_similarity_index_books_13_44.png,0.0011549253036188215,7.7904
books,structural_similarity_index,13,48,disp_structural_similarity_index_books_13_48.png,-0.03374545114650597,8.3259
books,structural_similarity_index,13,52,disp_structural_similarity_index_books_13_52.png,-0.08547428926206352,8.9875
books,structural_similarity_index,13,56,disp_structural_similarity_index_books_13_56.png,-0.1427082078613523,9.7343
books,structural_similarity_index,13,60,disp_structural_similarity_index_books_13_60.png,-0.23480283492533766,10.1113
books,structural_similarity_index,13,64,disp_structural_similarity_index_books_13_64.png,-0.25508970203986625,10.734
books,structural_similarity_index,13,68,disp_structural_similarity_index_books_13_68.png,-0.2682239482771652,11.1666
books,structural_similarity_index,13,72,disp_structural_similarity_index_books_13_72.png,-0.27078652083899163,11.6504
books,structural_similarity_index,13,76,disp_structural_similarity_index_books_13_76.png,-0.2710729650221527,12.562
dolls,normalized_cross_correlation,3,40,disp_normalized_cross_correlation_dolls_3_40.png,0.20452958225207843,2.6468
dolls,normalized_cross_correlation,3,44,disp_normalized_cross_correlation_dolls_3_44.png,0.13422271602091077,2.6843
dolls,normalized_cross_correlation,3,48,disp_normalized_cross_correlation_dolls_3_48.png,0.04949184794092821,2.8213
dolls,normalized_cross_correlation,3,52,disp_normalized_cross_correlation_dolls_3_52.png,-0.11523915917541407,2.8908
dolls,normalized_cross_correlation,3,56,disp_normalized_cross_correlation_dolls_3_56.png,-0.2305680999413457,3.0536
dolls,normalized_cross_correlation,3,60,disp_normalized_cross_correlation_dolls_3_60.png,-0.35285062044857474,3.0941
dolls,normalized_cross_correlation,3,64,disp_normalized_cross_correlation_dolls_3_64.png,-0.45490538318463675,3.2316
dolls,normalized_cross_correlation,3,68,disp_normalized_cross_correlation_dolls_3_68.png,-0.5878715796526947,3.2542
dolls,normalized_cross_correlation,3,72,disp_normalized_cross_correlation_dolls_3_72.png,-0.5984894956908896,3.3478
dolls,normalized_cross_correlation,3,76,disp_normalized_cross_correlation_dolls_3_76.png,-0.5959375714188062,3.4284
dolls,normalized_cross_correlation,5,40,disp_normalized_cross_correlation_dolls_5_40.png,0.21651763786083622,2.9631
dolls,normalized_cross_correlation,5,44,disp_normalized_cross_correlation_dolls_5_44.png,0.13924270630155847,3.2516
dolls,normalized_cross_correlation,5,48,disp_normalized_cross_correlation_dolls_5_48.png,0.04205617913089939,3.372
dolls,normalized_cross_correlation,5,52,disp_normalized_cross_correlation_dolls_5_52.png,-0.13108656587374282,3.5809
dolls,normalized_cross_correlation,5,56,disp_normalized_cross_correlation_dolls_5_56.png,-0.25525674020570355,3.7039
dolls,normalized_cross_correlation,5,60,disp_normalized_cross_correlation_dolls_5_60.png,-0.3916245886216979,3.7966
dolls,normalized_cross_correlation,5,64,disp_normalized_cross_correlation_dolls_5_64.png,-0.5082184979977398,3.9766
dolls,normalized_cross_correlation,5,68,disp_normalized_cross_correlation_dolls_5_68.png,-0.6417600506059495,4.1625
dolls,normalized_cross_correlation,5,72,disp_normalized_cross_correlation_dolls_5_72.png,-0.6517457527199443,4.5529
dolls,normalized_cross_correlation,5,76,disp_normalized_cross_correlation_dolls_5_76.png,-0.6497786034759312,4.593
dolls,normalized_cross_correlation,7,40,disp_normalized_cross_correlation_dolls_7_40.png,0.2159882686623726,3.6474
dolls,normalized_cross_correlation,7,44,disp_normalized_cross_correlation_dolls_7_44.png,0.13829391040861563,3.8041
dolls,normalized_cross_correlation,7,48,disp_normalized_cross_correlation_dolls_7_48.png,0.03497137576045737,4.006
