dataset,metric,block_size,occluson_cost,dpm_file_name,score,execution_time
reindeer,sum_of_squared_differences,7,600.0,dp_disp_sum_of_squared_differences_reindeer_7_600.0.png,1679145848.7774014,6.087
reindeer,sum_of_squared_differences,7,700.0,dp_disp_sum_of_squared_differences_reindeer_7_700.0.png,1343298718.4448113,6.0605
reindeer,sum_of_squared_differences,7,800.0,dp_disp_sum_of_squared_differences_reindeer_7_800.0.png,1145424660.1119187,5.9944
reindeer,sum_of_squared_differences,7,900.0,dp_disp_sum_of_squared_differences_reindeer_7_900.0.png,962955339.7789065,5.7837
reindeer,sum_of_squared_differences,7,1000.0,dp_disp_sum_of_squared_differences_reindeer_7_1000.0.png,827882442.4454327,5.9468
reindeer,sum_of_squared_differences,9,100.0,dp_disp_sum_of_squared_differences_reindeer_9_100.0.png,3152106594.4472027,6.9745
reindeer,sum_of_squared_differences,9,200.0,dp_disp_sum_of_squared_differences_reindeer_9_200.0.png,3152106594.4472027,6.7535
reindeer,sum_of_squared_differences,9,300.0,dp_disp_sum_of_squared_differences_reindeer_9_300.0.png,2848809618.1130095,6.8485
reindeer,sum_of_squared_differences,9,400.0,dp_disp_sum_of_squared_differences_reindeer_9_400.0.png,2477655661.111982,6.7415
reindeer,sum_of_squared_differences,9,500.0,dp_disp_sum_of_squared_differences_reindeer_9_500.0.png,2348618019.444471,6.8182
reindeer,sum_of_squared_differences,9,600.0,dp_disp_sum_of_squared_differences_reindeer_9_600.0.png,2273299928.44419,6.6424
reindeer,sum_of_squared_differences,9,700.0,dp_disp_sum_of_squared_differences_reindeer_9_700.0.png,2172588873.4438906,6.4356
reindeer,sum_of_squared_differences,9,800.0,dp_disp_sum_of_squared_differences_reindeer_9_800.0.png,2051423200.7769043,6.8261
reindeer,sum_of_squared_differences,9,900.0,dp_disp_sum_of_squared_differences_reindeer_9_900.0.png,1922575295.1102653,6.9487
reindeer,sum_of_squared_differences,9,1000.0,dp_disp_sum_of_squared_differences_reindeer_9_1000.0.png,1849172205.7771678,7.0785
reindeer,normalized_sum_of_squared_differences,3,0.1,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.1.png,0.6443028085210406,11.6702
reindeer,normalized_sum_of_squared_differences,3,0.2,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.2.png,0.663566655337059,11.9373
reindeer,normalized_sum_of_squared_differences,3,0.3,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.3.png,0.7312831784059497,11.6733
reindeer,normalized_sum_of_squared_differences,3,0.4,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.4.png,0.783173618416814,11.2573
reindeer,normalized_sum_of_squared_differences,3,0.5,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.5.png,0.833182771997621,11.7271
reindeer,normalized_sum_of_squared_differences,3,0.6,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.6.png,0.8529588365622826,11.7784
reindeer,normalized_sum_of_squared_differences,3,0.7,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.7.png,0.9016396807993146,11.5589
reindeer,normalized_sum_of_squared_differences,3,0.8,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.8.png,1.0513662367966041,11.4935
reindeer,normalized_sum_of_squared_differences,3,0.9,dp_disp_normalized_sum_of_squared_differences_reindeer_3_0.9.png,1.2437149616617642,11.5891
reindeer,normalized_sum_of_squared_differences,3,1.0,dp_disp_normalized_sum_of_squared_differences_reindeer_3_1.0.png,1.4004842170956737,12.0122
reindeer,normalized_sum_of_squared_differences,5,0.1,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.1.png,2.7491442394448717,13.7386
reindeer,normalized_sum_of_squared_differences,5,0.2,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.2.png,2.7754405222175946,13.5238
reindeer,normalized_sum_of_squared_differences,5,0.3,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.3.png,2.483250137710691,13.5216
reindeer,normalized_sum_of_squared_differences,5,0.4,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.4.png,1.8335648945374137,13.3382
reindeer,normalized_sum_of_squared_differences,5,0.5,dp_disp_normalized_sum_of_squared_differences_reindeer_5_0.5.png,1.2313482352279161,14.0369
